"inSALMO cell data file, Clear Creek site Restoration 3C",,,,
From J. White 12/4/2012,,,,
Cell#,FracVelShelter,DistToHidingCover,FracSpawnGravel,ReachEndCode
518,0.295,14.821,0.019,I
519,0.973,22.437,0.452,I
520,0.316,20.821,0.924,I
521,0,17.351,0.979,I
522,0,13.7,1,I
523,0,14.941,1,I
524,0,12.954,0.999,I
525,0.885,5.594,0.668,I
526,0,10.468,0.959,I
527,0.528,4.402,0.947,I
528,0.454,1.042,0.234,I
529,0.953,2.158,0.001,I
530,0,9.897,0.841,I
531,0.881,2.291,0,I
532,1,0.793,0,I
533,1,1.169,0,I
534,0,3.699,0,I
535,0.227,5.73,0.057,I
536,0,5.725,0.259,I
537,0,1.25,0,I
538,0,1.157,0,I
539,0,10.967,0.999,I
540,0,5.653,0.981,I
541,1,2.607,0.568,I
542,0,11.079,0.915,I
543,0,6.92,0.535,I
544,0,6.674,0.647,I
545,0,2.787,0.343,I
546,1,1.551,0,I
547,0.218,1.429,0,I
548,0,1.274,0,I
549,0.518,3.058,0,I
550,0,5.224,0.046,I
551,0,6.797,0,I
552,0,6.793,0,I
553,0,7.911,0,I
554,0,1.267,0,I
555,0,1.214,0,I
556,0.056,5.374,0,I
557,0,12.07,0,I
558,0.063,9.832,0,I
559,0.291,18.977,0,I
560,0.994,6.766,0,I
561,0.806,7.726,0,I
562,0.638,11.521,0,I
563,0.151,7.567,0,I
564,0.615,13.594,0,I
565,0.281,7.76,0,I
566,1,2.871,0,I
567,0,3.269,0,I
568,0.497,1.662,0,I
569,0,9.533,0,I
570,0,12.708,0,I
571,0,4.554,0,I
572,0,6.704,0,I
573,0,13.823,0,I
574,0,7.409,0,I
575,0.135,2.698,0,I
576,0.159,0.414,0,I
577,0.155,0.686,0,I
578,0,2.018,0,I
579,0,12.156,0,I
580,0.062,4.24,0,I
581,0,6.226,0,I
582,0.637,5.118,0,I
583,0,10.818,0,I
584,0.972,10.175,0,I
585,0,6.047,0,I
586,0.369,1.877,0,I
587,0.222,1.68,0,I
588,1,10.781,0,I
589,0,11.464,0,I
590,0,7.059,0,I
591,0,3.099,0,I
592,0.098,0.52,0,I
593,0.577,1.221,0,I
594,0.609,0.632,0,I
595,0,0.961,0,I
596,0,0.816,0,I
597,0.69,0.914,0,I
598,0.058,0.777,0,I
599,0.874,0.588,0,I
600,0,0.796,0,I
601,0.564,12.205,0,I
602,0,1.609,0,I
603,0,4.139,0,D
604,0,9.682,0,D
605,0.176,9.262,0,I
606,0,1.437,0,I
607,1,1.533,0,I
608,0.569,1.277,0,I
609,0.095,1.63,0,I
610,1,1.341,0,I
611,0,1.566,0,I
